,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
264,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,0,0
265,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,0
266,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,0
267,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson
268,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,0,0
269,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
270,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,0
271,candidate_Bob Kiss,candidate_Kurt Wright,0,0,0
272,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0
273,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
274,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,candidate_James Simpson
275,candidate_Kurt Wright,0,0,0,0
276,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
277,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
278,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Andy Montroll
279,candidate_Bob Kiss,candidate_Kurt Wright,0,0,0
280,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,0
281,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
282,candidate_Bob Kiss,candidate_Kurt Wright,0,0,0
283,candidate_Andy Montroll,0,0,0,0
284,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
285,candidate_Bob Kiss,0,0,0,0
286,candidate_Dan Smith,candidate_James Simpson,0,0,0
287,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
288,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,candidate_James Simpson
289,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,0,0
290,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson
291,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Dan Smith
292,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright
293,candidate_Bob Kiss,candidate_Dan Smith,0,0,0
294,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
295,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
296,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,0
297,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
298,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,0
